N	How long were the Cubs ran under the Wrigley family?
V	How many colors is the train?
V	Where are the railings?
V	Does this dog have willpower?
V	Is the vase approximately the same color as the contents of the center bowl?
V	What this man doing?
N	Who wrote that it was not suprising that the blame for 9/11 was trying to be blamed on a masonic world order?
V	How many persons are pictured?
N	The basal ganglia is thought to be the central location at which what are made?
N	What are 3 other common forms of bad antibiotic practices?
V	Is the bowl full of fruit?
V	Are those plates clean?
N	What does URL mean?
V	How many police are on horses?
V	Is the man heading straight or going into a turn?
N	What vocal technology did Kanye pick up for his next set of artistic endeavors?
V	Is the man on the right's collar buttoned?
V	What color is his bag?
N	What type of brain waves are sen when a creature is awake, but inattentive?
V	Does this tie have a pattern?
N	What console boasted compatibility with the Wii?
V	What does this bike look like?
V	What type are birds are pictured?
V	What is plugged in and sitting on the floor?
N	Complete advertising phrase from 1935 My Goodness
N	Where did an ambulance take Gaddafi after he was murdered?
V	What type of garbage bag is in the can?
N	What did people in the Roman Republic use to consume solid foods?
N	Who was the chief god of Eridu?
N	What is the meaning of bhasa?
V	Is the lid glass?
V	Who photographed the airplane in the sky?
N	The Quran is used in the interpretation of which form of law?
N	Which direction did Romans use to drift through the Rhine?
V	What do the buttons that are closest to the observer do?
N	What do eusocial insects build?
V	Where is the dollar bill?
N	When did Islamic law school begin?
N	What famous writer has a house in Philadelphia?
V	Is there wine present?
V	What color stripe is on this plane?
V	Is this a 4th of July parade?
N	Whats the name of the group that defeats Cody and Ken?
N	When was the Republic of China founded?
V	How many people can we see standing?
N	What is another type of circuit in which voltage and current reversal are affected by damping?
V	How tall is the building?
V	What color are the trash cans?
N	What writing mentions the Arian accusation that Athanasius was under aged?
V	What flag is the woman holding?
N	What file system do most removable devices use?
V	Does this house have a second story?
V	What team is on her hat?
V	Why is there no left faucet?
V	Did the lady get a Wii?
V	What type of water is the man using?
N	In what conference did the Fighting Irish take part in in 2012?
N	How many female Dominican houses were there in Germany?
N	Who is eligible to serve as a COATS trainer?
N	What was the capital of Papua?
V	Does this scene depict reality?
N	Who holds the longest running MP3 patent in the United States?
N	If q=9 and a=3,6 or 9, how many primes would be in the progression?
V	What color is the cat of the fridge?
V	Is this some kind of celebration?
V	What color is the animal in the picture?
V	Where is this man most likely working at?
V	What is the cable box sitting in?
V	Does it appear he is in a skate park?
N	How did Barcelona finish the 2006-07 season?
N	What were the names of some of the figures for the established religion that are based on ancestral ties ?
N	Why was the west creating a war?
N	How old was Kangxi when he took over?
V	Can the animal easily reach its food?
N	Beyoncé was the second African American woman featured as a swimsuit cover on the magazine, who was first?
N	What Christian beliefs did Emperor Valens adhere to?
V	Was the ball thrown low?
V	Is there a camera on this suitcase?
V	How many trees show roots?
V	Do the legs of one elephant resemble a tripod?
V	Is there more then 2 people here?
V	What is the woman in black doing?
V	What type of dress is the little girl wearing?
N	How did the Chongzhen Emporer die?
V	Are there two wristbands?
N	How was the suit settled?
V	Is the wall natural or man-made?
V	How many people are wearing suits?
V	Are these penguins?
V	Is the boy going up or down?
N	Which muslim country does Korea have a Presbyterian church in?
V	What is going on in this picture that'S bad for the environment?
V	How many pieces of luggage on the ground?
V	Is this in a house or a hotel?
V	What is the napkin for?
N	What defeat opened Nasser's eyes to the desperation of Egypt's situation?
N	As diests, Americans were influenced by the ideas of which two Enlightenment followers?
V	What is the area code to the BBQ place?
V	What common interest do these people share?
V	Is this at the zoo or preserve?
N	What happened when the  Maratha Army lost the third battle of Panipat?
V	What are the kids playing with?
V	What structure is behind the boy?
N	Who was Canada's first prime minister
V	Can people buy snacks or drinks in the picture?
V	Does a car have its lights on?
V	How many animals in the picture?
N	How many radio station does the city have?
V	Where is the license plate located?
V	Does this mouse have a cord?
V	Is this American grip or Western grip?
N	Who was the inaugural president of the St. Luke Penny Savings Bank?
V	What is the large white circular object to the left?
V	Is the Brewery closed?
V	Why is the van stopped?
N	What can be used to shoot without the need to manually target enemies?
N	What was Armenia's status from 1918 to 1920?
N	If you suffered from scripturience what are you compelled to do
V	Is this owned by an average person?
N	What was the region of Eastern Europe called in 1 AD?
N	who began opening "superclubs"?
N	Where does Tuvalu rank among other countries as to lowest elevation?
V	How many cell phones are there?
N	What river converges with the Test?
N	Where does informal learning occur?
V	What is he using to skate?
V	What flavor does the cake look like?
V	Are the women's jeans clean or dirty?
V	What happened to the motorcycle?
N	What is the place called where initial training happens?
V	Is there any car in the picture?
V	Is that a single person's room?
V	What color are the birds legs and feet?
V	Does this area have a high annual rainfall?
N	Where does Leksandra Broz live?
V	Is there cauliflower in this picture?
V	What kind of tree is hanging over the photographer?
N	Who created Ganlan Media?
N	Is Photo Gallery automatically or separately installed?
V	How high does the dog jump?
N	What type of neighborhood is Sherwood Forest?
V	Did you ever see a dog surf?
V	What season is this picture?
N	What is the first year of the Shamsi Hijri Calender based on?
N	Literary readings are usually used where?
N	What's unusual about the ink used to print money
V	Is this person riding with a western saddle?
V	Is the batter safe?
V	Is the cat looking out of the window?
V	What game is it?
N	How do anthropologists typically like to divide up the world?
V	What simple geometric shapes are formed by the lines on the object?
V	Is there a beverage in the picture?
V	What color are is his snowsuit?
V	What is the main color theme of the kitchen and living room?
N	How many people were living in Northern Cyprus according to the 2006 census?
V	What do the rings symbolize?
N	Zubin Mehta conducted who in concert
N	Where does CBNT-DT broadcast from?
V	How many white buildings are in the background?
V	What kind of flowers are in the field?
V	Have the pizzas been cooked yet?
V	What electronic item is laying on the bed?
V	What does the lamp light look like it is made out of?
V	What type of place would this woman be?
V	Will these tulips last another few days?
V	Is there more men than women in the photo?
V	Does the ground have grass showing?
V	Are there numbers on the face of the clock?
N	What was the name of the 1997 movie depicting the relationship between Victoria and John brown?
N	Around 1528, a group of Spaniards entered the territory that now makes up what state?
N	Where did this pattern come from?
V	Does the man have any feet touching the ground?
N	What are Bermuda's largest economic sectors?
N	What was captain Viktor Poplonsky defending?
V	Is the stove on or off?
V	What is across the river at top left of photo?
N	What led to the banning of the Remonstrant faith in 1618?
V	Are you allowed to smoke near the fence?
N	What burrough was Feynman's high school in?
V	Is he teaching the child to skateboard?
V	What color is his cap?
V	Where is the candle?
V	What does the bottom of the remote say?
N	What was the name of the man from the Soviet Union who was doubtful of Operation Sea Lion?
V	Is the rug colorful?
N	In what year did the battle of Tannenberg take place?
V	Are there any cars parked?
V	How many  zebras  are there?
N	What group includes the symmetries of degree 4 and denoted D4?
N	What country challenged the legitimacy of the Korean War?
V	What word is written in white on the building on the right?
V	What is the person standing in a circle for?
V	Where did the donut come from?
V	Is the lighting in this room typical for an average household?
V	Is  the laptop on?
N	When is the Hebrew Book Week held?
V	What is the name of the dog on the right?
V	How many batteries do you see?
V	Are the bananas ripe enough to throw out?
V	How many window panes can be seen?
V	Are they swimming?
V	What number candle is on the cake?
N	The US Constitution says what to amendments?
N	What country refused to allow forces to stage within it?
V	What purpose does the umbrella serve?
V	Does the man look bored?
N	Who had formed the club that contained much of the colonial administration?
V	What color is the tent behind the man?
N	What percent of Georgia use Russian as their main language?
V	What is the object directly underneath the bucket made of?
V	What brand logo is visible?
N	Who attempted to arrange a compromise?
V	Is he walking down this steep wall?
V	Does the crust look burnt?
N	How many Russians were in defense?
N	What is considered the country's primary musical export?
N	What time would a computer probably use for the clock display?
V	Is the picture an overhead shot?
V	Can a person make a right turn?
N	Where were Monastic communities allowed to celebrate Mass in private?
N	Collective nouns - A tiding of what
N	How many prongs is the Supreme COurt's test to determine if a government action comports with the Establishment Clause?
N	Which dialect covers more area than all other dialects combined?
V	What is the man throwing to the other man?
N	What instrument did Glen Miller play
N	Where were Poles scattered to?
V	Was there an accident?
N	Setting national renewable energy targets can be an important part of what?
V	Why would this man be bringing the dog along?
V	What color is the side of the electric trains?
N	What type of law handles patent infringement cases in China?
N	What type of approaches for primary school are available that are different than the norm?
N	In which year were Rodin's works given to the V&A?
N	The Swiss has viewed themselves as their own country since what year?
V	Is this bathroom in need of sprucing up?
V	Is there a clock in the room?
V	What color is the tiles?
N	What encouraged borrowing from 2000 to 2003?
V	What is the sign that is lit up on the right side?
N	In what year did Pope Julius die?
V	Is the man on the right gay or straight?
V	What channel is the woman watching on the TV?
N	Nessus killed Hercules - What was Nessus
V	Is the person with a green hat a male or female?
V	Is the zebra in the front looking at the zebra in the back?
V	What number player is this?
V	IS the man in the air?
V	What is the name of the style of art on the wall behind the mirror?
V	Is this a marketplace?
V	Are both children trying to kick the same ball?
N	Who commissioned the Gateshead Milennium Bridge?
V	Is there stained glass present in the photo?
V	What is the man holding to?
V	Do the flowers in the vase have a particular name?
N	1579 the Netherlands achieved independence from what country
V	What color is her toy?
N	From what were countries in the empire free?
V	What side is the fork on?
V	What color is the closest cone?
N	In theory how were all polish noblemen viewed?
V	How many people have snowboards?
V	What is the tall object to the left of the TV?
N	Has Japan ever attacked Thailand?
N	When did the aircraft visit HMS Lancaster?
N	Which former colonies still have tight monopolies on cotton brokering?
V	Who made these pizza?
V	What is this kind of hot dog called?
N	When did the mandolin first appear in rock music?
V	What are the googles protecting?
N	When did Cook's ships cross the Antarctic circle?
N	What is the worlds oldest desert - country named after it
N	Over 28 million Americans are what
V	Why is the elephant laying down?
N	How would the geographical societies in Europe support certain travelers?
V	What is the man tossing?
V	What is next to the plate?
N	In terms of schools how old is it historically compare to others?
N	When did people start using dogs as therapy?
V	How high do they jump?
V	What is the sauce being poured on?
V	Who is this dish for?
V	What game is beside the box?
V	What bus is this?
N	In the UK today 16000 people die annually from what
V	Is this bus facing the right or left?
V	Drywall or tile?
N	What shape are Plastoglobuli?
V	What is the weather like in this picture?
V	What kind of train is the one on the left?
V	Is this a lot of food for the girl?
V	What type of paper is shown?
V	Are there any humans in this picture?
V	Is there a person on the boat?
V	How many wheels are in the sky?
N	What percentage of Swiss people claimed no church affiliation in 2012?
V	Count the different patterns?
V	Which is more important in this photograph, the man or the sandwich?
V	How many containers are there of red fruit?
N	What manager was appointed to lead Arsenal in 1925?
N	What year did postal service in Somalia resume?
N	What sort of power transmission did Tesla show off at his labs?
V	Is the child looking at the camera?
V	What number is on the man's shorts?
N	What is the city's largest age group?
N	What does wealth disparity make the economy more prone to?
V	What's about to happen to this little girl?
N	How many people helped Queen set a 1976 attendance record?
N	When were there some extreme metaphrasers?
V	Is this person in bed or sitting in a chair?
N	What was Nasser's reaction to the attack?
N	What was Elbridge Gerry's constituency?
N	Into what language was Almagest translated in the 12th century?
V	What type of court are they playing on?
N	When did the Slavs invade Greece?
V	Are the people at a coffee shop?
V	Where is the bus heading?
V	How many parts are red?
V	Are they looking at the giraffes?
V	Are these different remote controls?
V	What is the round food?
N	With what is cotton often blended to make a new style of fabric?
V	Why does this animal have hair?
N	What county were the supplies flown to?
V	What is the name of the thing the players are in on the sideline?
N	The Dominican Order was also greatly helped by what German friar?
V	Are both cats laying down?
V	What brand is the monitor?
V	What is in the bottle on the table?
N	Along with sport, games, literature, dress and festivals, what is a notable Somali cultural tradition?
V	How many people are wearing pink shirts?
V	What's on the people's faces?
V	What type of beverage is being consumed?
V	What color stripes does the zebra have?
V	What brand is the watch?
N	What did the attack between Rus and Byzantines lead to?
V	Are the tree trunks straight?
V	How many cups are in the image?
V	Does the fire truck have a door open?
V	What kind of mushroom are those?
N	Why did rulers and governments in Europe form universities?
V	Are these people getting on a bus?
V	What does the plane say?
V	What are the green things under the water called?
N	What did Chopin realize was not ideal for larger spaces after his first successful concert in Paris?
N	Is it objectively wrong to torture innocent babies just for fun?
V	How many carrots are on the table?
N	Emerald is the birth stone for which month
N	Texans consume 40% of farm grown what in the USA
V	Is this a residence or a hotel?
V	How many striped objects are in the photo?
N	Who did the National Anthem at Super Bowl 50?
V	What color is the flower in her hair?
N	The Sonhgai Empire's demise was due to what invasion?
N	Who was the president of the Bishops' Conference of Yugoslavia?
V	Is this skate park new?
V	Why is the giraffe bending over?
N	What were interiors seeking to recreate?
V	Small room or large?
V	What are the giant walls near the giraffe for?
V	Is the bathroom wall the same color as the kitchen?
V	What kind of party is being celebrated?
V	Why is the skater wearing a helmet?
N	What can sleep-and-charge USB ports be used to do?
N	How was the bull's-eye used?
V	What type of phone is he using?
V	Do both have lids?
N	How many questions does the SASO contain?
V	Did a man or a woman decorate the bathroom?
V	Might the photographer have alerted the rear animal?
V	Is the fire hydrant wearing a hat?
V	What is the material used on the walls of the house?
V	What city is this intersection in?
V	Are these people at a zoo?
V	What are the silverware sitting on?
V	Is the clock broken?
V	Are there frozen foods?
V	How many colors are on the bikini?
V	How many people in the boats?
N	In 2006 what was crime mostly comprised of?
V	Is that a Chicago hot dog?
V	Do the apples have stickers on them?
N	Where are the most speakers found?
V	How long have they been watching the game?
V	What type of bread is used in this sandwich?
N	What makes up the inside of a multi-layer PCB?
N	What kind of movement does the electron not have in ground state?
V	What food is shown?
V	How many eyes can be seen in the photo?
V	What direction is the cat looking?
V	Is the food in the foreground hot?
N	In May 2008, The Times switched to new plants which allowed for what kind of feature to be printed on every page for the first time?
V	What is this man posing with?
N	Interstate 526 begins and ends at what Highway?
N	What percentage of Plymouth's population call themselves Christian?
N	What year was the OAU formed?
V	What is in the street?
V	How much toilet paper do you see is left?
N	Who drove through the Queens-Midtown Tunnel before anyone else?
V	How can we tell this bus won't be moving anytime soon?
N	How is circuit switching allocated
V	What is the small white animal?
V	Are there clocks on this building?
N	To which year has the Antwerp City Hall doors in the V&A collection been dated?
V	What monument is this?
V	Are these people about to be arrested for nudity?
N	Who is often listed amongst the world's worst offenders when it comes to human rights?
N	What old ally did Nasser turn against?
V	What language is the signs written in?
V	What color of top is the woman wearing?
N	What is prohibited in all zones of the marine reserve at St. Barts?
V	Is the luggage case full?
N	On what channel was the 2013 ArenaBowl broadcast?
V	What type of architecture is pictured?
V	What color are the skier's boots?
N	How many passengers use Terminal 3 of Indira Gandhi Airport each year?
V	Are the people seated?
N	In what season did Everton win their fourth League title?
V	What is the girl chewing?
N	With whom did Lady Flora consipire against Queen Victoria?
V	What letter do the two skis resemble?
V	How tall is the giraffe's shadow in the image?
N	What honorary title does Bob Geldof hold?
N	Who wrote E.T.'s script?
N	When was the so-called February Countercurrent?
N	What era did this discrimination take place?
V	What does this breakfast include?
V	Does this man look pleased with the food?
N	In the rules of golf what type of bad weather can stop play
V	Are the cars parked in the same direction?
V	What is pictured at the beach?
V	Does the woman have on a ring?
N	How do differences in works arise when using a printing press?
V	Is that a bulldog on the floor?
V	Does the zebra live in a zoo?
N	What is the purpose of secondary education?
V	Is the cat walking?
V	Is the horse well-fed?
V	Is her head covered?
V	Are these donuts hot?
V	What is the color of the curtain?
N	What European national ancestry was claimed by 45% of Tennessee residents in 1980?
V	What Transportation are these boys going to use?
V	What kind of tie is the man of the right wearing?
V	What color is the pillow on the bed?
V	Is something plugged in?
V	What is the color of the flag?
N	Along with Iceland, Normandy, Ireland and England, what other area did Scandinavians colonize during this period?
N	What is one part of the innate immune system that doesn't attack microbes directly?
N	In which direction would you expect to find a dipole?
V	How many windows are in the ceiling?
N	What is the solution many lines came up with in order to avoid replacing present rolling stock?
V	How many elephants are standing in water?
V	How many kids are watching the TV?
V	Are the people in a restaurant?
V	What is the occasion with the cake?
V	Is this a good photo op?
V	Has the dog been eaten yet?
N	What type of climate does St. Barts typically have?
V	Is this a dangerous move?
V	Is this pizza overcooked?
N	What does NATO ascribe naval air defence as?
N	What is another name for the smoke room?
N	Where were the Germanic tribes originally located?
V	What color ground would you normally expect this to be played on?
N	What is another name for a fission/fusion bomb?
V	What is the plane sitting in?
N	There are five stars on the flag of which country
N	Who operated the vBSN network
N	Feynman proposed a integral model in particle physics, what was it?
V	How many single slices are there?
N	What movement were dictionaries and encyclopedias trying to promote?
V	What does the object on the table do?
V	Is the snowboarder standing up straight?
V	What kind of foods can be seen?
V	Could this be an "El"?
V	Is there a parking lot in the scene?
N	What office is responsible for the census form changes?
N	In what sport did Prince Leopold of Bavaria compete
V	Can the bird see the screen?
N	Where was very expensive wallpaper imported from?
V	Is this bird gray?
N	What happened to Idris?
N	What complex measurements were defined by "On the Computational Complexity of Algorithms"?
V	What is shown on the tower?
V	What is hanging on the line?
V	Should you stop at this sign?
V	Has the sheep's tail been shortened?
V	What kind of vehicle is that?
N	In what century did the Middle Ages begin?
N	Why have some species spread naturally far beyond their original ranges?
V	Has the bottle been opened?
V	Are these people wearing name tags?
V	Does this animal know where to find food?
V	If a wildfire broke out, would this be a vehicle you would want to respond?
N	How many native German speakers consider themselves German?
V	What time of day is this taken?
N	Which book was touted for establishing regulations for church and government?
V	Why is that person so tall?
V	Are the flowers the same color?
V	What are on display?
N	Does anyone refuse to show them?
N	In which region of the world were the Spanish pesos minted?
V	Why is there dish detergent on the ground?
N	How is Nirvana achieved?
V	When were these stoplights installed in the picture?
V	Are the men friends?
V	Is the bike too big for the little girl?
N	What specifies a particular trait with a different sequence of alleles?
V	How many red hats?
V	How many donuts are pictured?
V	What kind of place is pictured?
V	What color are the baby's eyes?
V	What can you see in the rearview mirror?
N	What is the maximum monetary fine under the new law?
V	Is the bus the same color as the sky?
V	What object are the people trying to catch?
V	Is the TV a flat-screen TV?
V	What are the initials on the blue and white plane?
N	What was Tymnet
N	What snake builds a nest
V	Is there a man standing on the roof?
N	What then-US protectorate did Root write a government charter for?
V	Are the elephants related?
N	What has the research that has been done already show about sexual orientation show?
N	Where was the first Baptist church located in Canada?
N	What languages were recognized as Indo-European?
N	Choroti women are expected to do what during sex
V	What is she serving the students?
N	What does Sigmund believe we all as adults desire?
N	What document defines how much money is transferred from the United States to the Marshall Islands?
V	What language do they speak in this country?
V	Are the horses pulling a carriage?
V	Does the train have a lot of clearance below the highway?
N	Ghorala is another word for what?
N	What does Yeke Mongghul Ulus mean?
N	In film making what does a Blimp do
V	Is this a display piece?
V	What color is the screen?
V	Is this a cozy room?
N	What is the Carnival celebration known as in Lutheran countries?
N	What was the declaration of independence of the provinces from Philip II called?
V	Is this train fast or slow?
V	What color are the birds on the table?
V	How many animals in this photo?
N	What can cause symptoms and asthma serverity to change?
V	Is the child facing uphill or downhill?
N	By whom is European Law applied by?
N	Who was Paris' first director of parks and gardens?
N	In what types of countries is the rule of law important to the economy?
V	How many toothpicks are visible?
V	Is this a sunset?
N	How many delegates passed the motion?
N	What mistake did Kerry make in the joke?
V	Is the outside of the refrigerator bare?
V	Is the net taller than their shoulders?
V	What is in the animal's mouth?
V	What sign is next to the man?
V	Is this a professional bike race?
N	What is used as a warning against intermarriage between Jews and Canaanites?
V	What color are the pants of the person closest to the camera?
V	Is the plate red in color?
N	In Michigan married couples can be imprisoned unless they what
V	Other than flowers, what else is in the vases?
V	Is the animal trying to escape?
V	Who is on the phone?
V	Are the planes commercial?
V	Where is the stove top located?
V	Are these people ready to start eating?
V	Are these items displayed in a store?
N	How many base stations did China Mobile have suspended?
N	What was Yeltsin president of?
N	What year was the Toepler Pump invented?
N	Where is Ridge Bond from?
